TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m), Decking(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
5.04PM,69,11,3,3,3,1/1.5M,850,3875,6831,0.57,56.52,113,10.5,360,115.8
5.36PM,30,7.5,3.2,2.8,3,NIL,225,1050,2016,0.52,35,35,2.75,315,101.4
5.07PM,33,4.5,3,3,2.5,NIL,148.5,469.46,1336.5,0.35,14.22,28.44,1.45,410,131.1
5.06PM,30,"6,7",3.5,2.8,3,NIL,214,659,1969.8,0.33,21.66,43.33,0.992,465,118.3
5.07PM,21,"6,7",3.8,3,2.5,NIL,140,525,1603.98,0.32,25,50,5.12,290,140.5
1.28PM,34,15,4.2,3.2,3,2/1.5M,510,2800,6854.4,0.41,82.45,82.45,9.09,310,125.1
1.31PM,30,5.5,3.2,2.8,3,NIL,171,700,1568,0.45,23.33,23.33,6.86,400,116
1.30PM,44,"5,6",3,2.5,3,NIL,262,875,1965,0.44,19.88,39.77,1.44,480,111.6
1.26PM,35,15,3,3,3,2/1.5M,550,2750,4725,0.57,78.57,157.14,0.579,465,83.4
1.23PM,28,10,3.5,3,3,1/1.5M,280,1275,2940,0.47,45.53,45.53,0.659,485,81.4
1.30PM,39,6,3,3,2.5,NIL,234,1025,1944,0.52,26.28,52.56,3.31,302,119.9
1.31PM,36,"7,7.5",3.2,2.8,3,NIL,267,1350,2392.32,0.56,37.5,37.5,6.86,400,116
1.32PM,105,5,3.2,2.5,3,1/1M,889,4333.3,7965,0.54,41.26,82.54,0.945,470,119.1
1.39PM,30,15,4,3,3,2/1.5,450,2500,5400,0.46,83.33,83.33,1.91,370,122
1.25PM,20,6.5,3.5,2.8,3,NIL,130,600,1274,0.47,30,60,12.2,280,119.6
1.30PM,61,8,4,3,3,NIL,488,2400,5856,0.41,39.34,78.68,2.29,400,121.5
1.29PM,40,"7,8",3,3,3.5,NIL,300,1250,2610,0.47,31.25,62.5,2.16,380,112
1.26PM,70,"4.5,7",4,2.8,2.5,NIL,420,2000,4704,0.42,28.57,57.14,0.881,470,124.3
1.38PM,30,15,4,3,3,2/1.5M,450,2500,5400,0.46,83.33,83.33,0.635,480,120
1.23PM,35,"4,6",3,3,2.5,NIL ,175,575,1575,0.36,16.42,32.84,0.627,480,112.7
1.37PM,25,"5,6,7,9",3.2,3,3,1/1M,224.18,1080,2152.12,0.51,43.22,86.44,0.889,390,110
1.21PM,27,10,3.2,2.8,3,1/1M,270,1375,2419.2,0.57,50.9,101.8,2.14,370,122
1.34PM,30,6.5,3.2,2.8,3,NIL,195,975,1747.2,0.56,32.5,64.6,1.52,300,119
1.24PM,25,"6.5,8",3.2,2.8,3,NIL,183.75,825,1646.4,0.51,33,33,0.889,490,118
1.15PM,21,11.5,3.5,3,3,1/1.5,236.25,1250,2535.75,0.49,58.38,116.76,2.67,385,97.4
1.31PM,75,15,3,3,3,2/1M,1125,5885,10125,0.58,78.47,156.94,2.94,430,115.9
1.48PM,28,8,3.2,3,3,NIL,224,1300,2150.4,0.6,46.43,92.86,0.532,330,99.5
1.35PM,16,"12,13",3.2,3,3,1/1M,209,975,206.4,0.49,60.94,121.88,1.83,383,119.1
1.30PM,33,"9,13",4,3,3,2/1M,510,2250,4212,0.53,68.18,136.36,4.34,430,125.3
1.48PM,24,7.5,3.2,3,3,NIL,180,925,1728,0.54,38.54,77.08,1.15,410,123.3
1.44PM,32,15,3.1,3.5,3,2/1M,480,3075,5208,0.59,96.1,192.2,0.611,391,93.3
1.16PM,39,8.5,3.5,3,3,NIL,331,1750,3480,0.5,44.87,89.74,1.09,490,116.9
1.13PM,24,6,3,3,3,NIL,144,600,1296,0.46,25,50,1.61,350,124.2
1.17PM,58,7,4,3,3,NIL,406,2075,4872,0.42,35.77,71.55,1.6,460,125.2
